"Device Code","Device No.","Comment"
"SB","0","CC-Link Master Status (0=Normal)"
"SB","20","CC-Link Module Normal Operation Flag"
"SB","47","CC-Link Baton Pass Status"
"SW","0","CC-Link Master Error Code"
"M","1008","St1 AJ65SBT-64AD Initial Data Request Flag (RX0)"
"M","1009","St1 AJ65SBT-64AD Initial Data Completion Flag (RX1)"
"M","1016","St1 AJ65SBT-64AD AD Conversion Complete Flag (RX8)"
"M","1032","St1 AJ65SBT-64AD Error Flag (RX18)"
"M","1064","St2 AJ65VBTCU-68DAVN DA Output Ready Flag (RX38)"
"M","1066","St2 AJ65VBTCU-68DAVN Error Flag (RX3A)"
"M","1104","St4 AJ65SBT-16DT Input X0 (RX60)"
"M","1105","St4 AJ65SBT-16DT Input X1 (RX61)"
"M","1106","St4 AJ65SBT-16DT Input X2 (RX62)"
"M","1107","St4 AJ65SBT-16DT Input X3 (RX63)"
"M","1108","St4 AJ65SBT-16DT Input X4 (RX64)"
"M","1109","St4 AJ65SBT-16DT Input X5 (RX65)"
"M","1110","St4 AJ65SBT-16DT Input X6 (RX66)"
"M","1111","St4 AJ65SBT-16DT Input X7 (RX67)"
"M","1200","St1 AJ65SBT-64AD Initial Data Confirm (RY0)"
"M","1208","St1 AJ65SBT-64AD AD Conversion Enable (RY8)"
"M","1226","St1 AJ65SBT-64AD Error Reset (RY1A)"
"M","1240","St2 AJ65VBTCU-68DAVN DA Conversion Enable (RY28)"
"M","1304","St4 16DT Y8: Servo ON Truc Thu T"
"M","1305","St4 16DT Y9: Servo ON Truc Xa X1"
"M","1306","St4 16DT YA: Servo ON Truc Master X2"
"M","1307","St4 16DT YB: Servo ON Truc Ghep Ms"
"M","1308","St4 16DT YC: Servo ON Truc Trang Dau S"
"M","1309","St4 16DT YD: Solenoid Valve Pen 1"
"M","1310","St4 16DT YE: Solenoid Valve Pen 2"
"M","1311","St4 16DT YF: Du phong / Bao loi"
"D","500","St1 AJ65SBT-64AD CH1 Raw Value (0-4000) (RWr0)"
"D","501","St1 AJ65SBT-64AD CH2 Raw Value (0-4000) (RWr1)"
"D","502","St1 AJ65SBT-64AD CH3 Raw Value (0-4000) (RWr2)"
"D","503","St1 AJ65SBT-64AD CH4 Raw Value (0-4000) (RWr3)"
"D","524","St2 AJ65VBTCU-68DAVN CH1 Output Value (-4000..4000) (RWw4)"
"D","525","St2 AJ65VBTCU-68DAVN CH2 Output Value (-4000..4000) (RWw5)"
"D","526","St2 AJ65VBTCU-68DAVN CH3 Output Value (-4000..4000) (RWw6)"
"D","527","St2 AJ65VBTCU-68DAVN CH4 Output Value (-4000..4000) (RWw7)"
"D","528","St2 AJ65VBTCU-68DAVN CH5 Output Value (-4000..4000) (RWw8)"
"D","529","St2 AJ65VBTCU-68DAVN CH6 Output Value (-4000..4000) (RWw9)"
"D","530","St2 AJ65VBTCU-68DAVN CH7 Output Value (-4000..4000) (RWwA)"
"D","531","St2 AJ65VBTCU-68DAVN CH8 Output Value (-4000..4000) (RWwB)"
"D","600","St1 CH1 Scaled Value (Engineering Unit x10)"
"D","601","St1 CH2 Scaled Value (Engineering Unit x10)"
"D","602","St1 CH3 Scaled Value (Engineering Unit x10)"
"D","603","St1 CH4 Scaled Value (Engineering Unit x10)"
"D","610","St2 CH1 Command % (0-1000 = 0-100.0%)"
"D","611","St2 CH2 Command % (0-1000 = 0-100.0%)"
"D","612","St2 CH3 Command % (0-1000 = 0-100.0%)"
"D","613","St2 CH4 Command % (0-1000 = 0-100.0%)"
"D","614","St2 CH5 Command % (0-1000 = 0-100.0%)"
"D","615","St2 CH6 Command % (0-1000 = 0-100.0%)"
"D","616","St2 CH7 Command % (0-1000 = 0-100.0%)"
"D","617","St2 CH8 Command % (0-1000 = 0-100.0%)"
