"Device Code","Device No.","Comment"
"D","510","Trong luong Luc cang thuc te T (N/Kg)"
"D","512","Trong luong Luc cang thuc te X1 (N/Kg)"
"D","514","Trong luong Luc cang thuc te M (N/Kg)"
"D","516","Trong luong Luc cang thuc te U (N/Kg)"
"D","524","CH1 DAC Speed Truc T (0..16000)"
"D","525","CH2 DAC Torque Truc T (0..16000)"
"D","526","CH3 DAC Speed Truc X1 (0..16000)"
"D","527","CH4 DAC Speed Truc Master X2 (0..16000)"
"D","528","CH5 DAC Speed Truc Ghep Ms (0..16000)"
"D","529","CH6 DAC Torque Thang Tu M (0..16000)"
"D","530","CH7 DAC Speed Truc Trang Dau S (0..16000)"
"D","531","CH8 DAC Speed Truc Xa Metalize U (0..16000)"
"D","602","Ma trang thai van hanh hien thi tieng Viet tren HMI"
"D","604","Chon cong thuc don hang Recipe (1..5)"
"D","608","O nhap Zero Offset duy nhat tren HMI"
"D","610","Chon truc tren HMI"
"D","612","O nhap Kp duy nhat tren HMI"
"D","614","O nhap Ki duy nhat tren HMI"
"D","616","O nhap Kd duy nhat tren HMI"
"D","618","O nhap Calib Gain duy nhat tren HMI"
"D","620","Ty so truyen Hop so Thu T (x1000)"
"D","622","Ty so truyen Hop so Xa X1 (x1000)"
"D","624","Ty so truyen Hop so Master X2 (x1000)"
"D","626","Ty so truyen Hop so Ghep Ms (x1000)"
"D","628","Ty so truyen Hop so Trang Dau S (x1000)"
"D","630","Ty so truyen Hop so Xa U (x1000)"
"D","638","Duong kinh lo Keo X1 (mm vi du 300.5)"
"D","640","Duong kinh lo ghep Ms (mm vi du 200.0)"
"D","642","Duong kinh lo Master X2 (mm vi du 300.5)"
"D","648","Duong kinh lo Dau S (mm vi du 100.0)"
"D","660","Luc cang cai dat SP Truc T (kg)"
"D","662","Luc cang cai dat SP Truc X1 (kg)"
"D","664","Luc cang cai dat SP Truc M (kg)"
"D","666","Ty le Con luc giam cang cuon T (%)"
"D","668","Luc cang cai dat SP Truc U (kg)"
"D","670","He so Kp PID cuon T"
"D","672","He so Ki PID cuon T"
"D","674","He so Kd PID cuon T"
"D","676","He so Kp PID cuon X1"
"D","678","He so Ki PID cuon X1"
"D","680","He so Kd PID cuon X1"
"D","681","He so Kp PID Toc do Master X2"
"D","682","He so Kp PID Thang M"
"D","683","He so Ki PID Toc do Master X2"
"D","684","He so Ki PID Thang M"
"D","685","He so Kd PID Toc do Master X2"
"D","686","He so Kd PID Thang M"
"D","687","He so Kp PID Toc do Ghep Ms"
"D","688","He so Kp PID cuon U"
"D","689","He so Ki PID Toc do Ghep Ms"
"D","690","He so Ki PID cuon U"
"D","691","He so Kd PID Toc do Ghep Ms"
"D","692","He so Kd PID cuon U"
"D","694","He so Kp PID Toc do Truc S"
"D","696","He so Ki PID Toc do Truc S"
"D","698","He so Kd PID Toc do Truc S"
"D","700","Chieu dai met hang cai dat tu dung (met)"
"D","702","Khoang cach bao giam toc truoc khi dung (met)"
"D","704","Gia toc tang toc (m/p moi giay)"
"D","706","Gia toc giam toc (m/p moi giay)"
"D","708","Tong so met hang da ghep (met)"
"D","710","Toc do nhan bi 2 Pen ep mang (0.1 m/p)"
"D","720","Duong kinh thuc cuon U (mm)"
"D","722","Duong kinh thuc cuon M (mm)"
"D","724","Duong kinh thuc cuon T (mm)"
"D","730","Toc do hien tai day chuyen (0.1 m/p)"
"D","732","Toc do muc tieu cai dat (0.1 m/p)"
"D","734","Toc do Max day chuyen (0.1 m/p)"
"D","736","Toc do Min day chuyen (0.1 m/p)"
"D","738","Toc do bo cham rua may (0.1 m/p)"
"D","740","Duong kinh loi cuon T (mm)"
"D","742","Duong kinh loi cuon M (mm)"
"D","744","Duong kinh loi cuon U (mm)"
