"Device Code","Device No.","Comment"
"M","100","Che do Auto / Manual"
"M","101","Nut Nhan Reset Loi He Thong"
"M","102","Nut Nhan Chay He Thong May Ghep"
"M","103","Nut Nhan Dung He Thong May Ghep"
"M","104","Nut Reset Tong Chieu Dai Met Hang"
"M","105","Nap lai duong kinh cuon moi T"
"M","106","Nap lai duong kinh cuon moi M"
"M","107","Nap lai duong kinh cuon moi U"
"M","108","Bat Tat Che Do PID"
"M","109","Phim INC Tang Toc HMI"
"M","110","Nut Set Zero Loadcell T"
"M","111","Nut Set Zero Loadcell X1"
"M","112","Nut Set Zero Loadcell M"
"M","113","Nut Set Zero Loadcell U"
"M","114","Phim DEC Giam Toc HMI"
"M","115","Nut Lenh Pen 1 HMI"
"M","116","Nut Lenh Pen 2 HMI"
"M","118","Nut Set Zero chung cho truc chon tren HMI"
"M","119","Nut Calib Span chung cho truc chon tren HMI"
"M","120","Nut Calib Span Loadcell T"
"M","121","Nut Calib Span Loadcell X1"
"M","122","Nut Calib Span Loadcell M"
"M","123","Nut Calib Span Loadcell U"
"M","125","Nut Luu cai dat PID Calib HMI"
"M","126","Nut Kich hoat AutoTune PID"
"M","127","Den bao dang chay AutoTune"
"M","128","Den bao da AutoTune xong"
"M","130","Giu Torque M khi dung may"
"M","131","Giu Torque U khi dung may"
"M","132","Bo cham S khi dung may"
"M","133","Bo cham Ms khi dung may"
"M","134","Co bao loi Servo Not Ready"
"M","135","Nut thay cuon moi toan bo"
"M","136","Nut bo cham noi mang 2 mp"
"M","137","Nut ap dung cong thuc Recipe"
"M","138","Nut luu thong so Recipe"
"M","170","Co Test Chay Thu Truc Thu T"
"M","171","Co Test Chay Thu Truc Xa X1"
"M","172","Co Test Chay Thu Truc Master X2"
"M","173","Co Test Chay Thu Truc Ghep Ms"
"M","174","Co Test Chay Thu Truc Trang Dau S"
"M","175","Co Test Thu Luc Thang Tu M"
"M","176","Co Test Chay Thu Truc Xa Metalize U"
"M","1104","RX60: 16DT X0 Servo Ready T"
"M","1105","RX61: 16DT X1 Servo Ready X1"
"M","1106","RX62: 16DT X2 Servo Ready X2"
"M","1107","RX63: 16DT X3 Servo Ready Ms"
"M","1108","RX64: 16DT X4 Servo Ready S"
"M","1109","RX65: 16DT X5 Pen 1 Input"
"M","1110","RX66: 16DT X6 Pen 2 Input"
"M","1111","RX67: 16DT X7 Reset Input"
"M","1280","Co hoan thanh lenh RIWT nap BFM 64AD"
"M","1282","Co nho da nap thanh cong BFM 64AD"
"M","1304","RY68: 16DT Y8 Servo ON Truc T"
"M","1305","RY69: 16DT Y9 Servo ON Truc X1"
"M","1306","RY6A: 16DT YA Servo ON Truc X2"
"M","1307","RY6B: 16DT YB Servo ON Truc Ms"
"M","1308","RY6C: 16DT YC Servo ON Truc S"
"M","1309","RY6D: 16DT YD Solenoid Pen 1"
"M","1310","RY6E: 16DT YE Solenoid Pen 2"
"M","1311","RY6F: 16DT YF Du phong / Bao loi"
