"Device Code","Device No.","Comment"
"X","50","Sensor tiem can dem vong cuon M (X50)"
"X","51","Sensor tiem can dem vong cuon U (X51)"
"X","52","Nut nhan START vat ly (X52)"
"X","53","Nut nhan STOP vat ly (X53)"
"X","54","Nut nhan INC Tang toc vat ly (X54)"
"X","55","Nut nhan DEC Giam toc vat ly (X55)"
"X","56","Nut Toggle Pen 1 vat ly (X56)"
"X","57","Nut Toggle Pen 2 vat ly (X57)"
"X","58","Cong tac Giu Torque M (X58)"
"X","59","Cong tac Giu Torque U (X59)"
"X","5A","Cong tac Rua may bo cham Ms (X5A)"
"X","5B","Cong tac Rua may bo cham S (X5B)"
"X","5C","Nut nhan co BO CHAM NOI MANG (X5C)"
