"Device Code","Device No.","Comment"
"Y","0","Den bao he thong RUN (Y0)"
"Y","1","Den bao he thong STOP (Y1)"
"Y","2","Den bao ALARM bao loi (Y2)"
"Y","8","RY68: 16DT Y8 Servo ON Truc Thu T"
"Y","9","RY69: 16DT Y9 Servo ON Truc Xa X1"
"Y","A","RY6A: 16DT YA Servo ON Truc Master X2"
"Y","B","RY6B: 16DT YB Servo ON Truc Ghep Ms"
"Y","C","RY6C: 16DT YC Servo ON Truc Trang Dau S"
"Y","D","RY6D: 16DT YD Solenoid Pen 1"
"Y","E","RY6E: 16DT YE Solenoid Pen 2"
"Y","F","RY6F: 16DT YF Ngo ra Du phong Bao loi"
