"Device Code","Device No.","Comment"
"M","100","Che do Auto/Manual Test (1: Auto 0: Manual)"
"M","101","Nut Nhan Reset Loi He Thong"
"M","102","Nut Nhan Chay He Thong May Ghep"
"M","103","Nut Nhan Dung He Thong May Ghep"
"M","104","Reset Cuon Mang Giay X1 Moi (Init Dia)"
"M","105","Reset Cuon Mang Metalize U Moi (Init Dia)"
"M","200","Servo ON Auto Truc Thu T"
"M","201","Servo ON Auto Truc Xa Giay X1"
"M","202","Servo ON Auto Truc Master X2"
"M","203","Servo ON Auto Truc Metalize M"
"M","204","Servo ON Auto Truc Dau S"
"M","210","Test Servo ON Truc Thu T (Manual)"
"M","211","Test Servo ON Truc Xa Giay X1 (Manual)"
"M","212","Test Servo ON Truc Master X2 (Manual)"
"M","213","Test Servo ON Truc Metalize M (Manual)"
"M","214","Test Servo ON Truc Dau S (Manual)"
"M","1104","RX60: Servo Ready Truc T"
"M","1105","RX61: Servo Ready Truc X1"
"M","1106","RX62: Servo Ready Truc X2"
"M","1107","RX63: Servo Ready Truc M"
"M","1108","RX64: Servo Ready Truc S"
"M","1304","RY68: St4 Y8 (Servo ON Truc Thu T)"
"M","1305","RY69: St4 Y9 (Servo ON Truc Xa X1)"
"M","1306","RY6A: St4 YA (Servo ON Truc Master X2)"
"M","1307","RY6B: St4 YB (Servo ON Truc Ghep Ms)"
"M","1308","RY6C: St4 YC (Servo ON Truc Trang Dau S)"
"M","1309","RY6D: St4 YD (Solenoid Valve Pen 1)"
"M","1310","RY6E: St4 YE (Solenoid Valve Pen 2)"
"M","1311","RY6F: St4 YF (Du phong / Bao loi)"
"D","500","Loadcell Trong Luong Truc T (0..4000)"
"D","501","Loadcell Trong Luong Truc X1 (0..4000)"
"D","502","Loadcell Trong Luong Truc M (0..4000)"
"D","503","Loadcell Trong Luong Truc U (0..4000)"
"D","524","CH1 DAC Speed Truc T (0..4000 -> 0..5V)"
"D","525","CH2 DAC Torque Truc T (0..4000 -> 0..5V)"
"D","526","CH3 DAC Speed Truc X1 (0..4000 -> 0..5V)"
"D","527","CH4 DAC Speed Truc Master X2 (0..4000 -> 0..5V)"
"D","528","CH5 DAC Speed Truc Metalize M (0..4000 -> 0..5V)"
"D","529","CH6 DAC Torque Truc Metalize M (0..4000 -> 0..5V)"
"D","530","CH7 DAC Speed Truc Dau S (0..4000 -> 0..5V)"
"D","531","CH8 DAC Speed Truc U (0..4000 -> 0..5V)"
"D","600","Set Speed Auto Truc T"
"D","601","Set Torque Auto Truc T"
"D","602","Set Speed Auto Truc X1"
"D","603","Set Speed Auto Truc Master X2"
"D","604","Set Speed Auto Truc Metalize M"
"D","605","Set Torque Auto Truc Metalize M"
"D","606","Set Speed Auto Truc Dau S"
"D","607","Set Speed Auto Truc U"
"D","610","Set Speed Test Truc T (Manual)"
"D","611","Set Speed Test Truc X1 (Manual)"
"D","612","Set Speed Test Master X2 (Manual)"
"D","613","Set Speed Test Truc Metalize M (Manual)"
"D","614","Set Speed Test Truc Dau S (Manual)"
"D","615","Set Speed Test Truc U (Manual)"
"D","700","RPM Truc Thu T (RPM x10)"
"D","702","RPM Truc Xa Giay X1 (RPM x10)"
"D","704","RPM Truc Master X2 (RPM x10)"
"D","706","RPM Truc Metalize M (RPM x10)"
"D","708","RPM Truc Dau S (RPM x10)"
"D","710","MPM Van Toc Day Truc T (MPM x10)"
"D","712","MPM Van Toc Day Truc X1 (MPM x10)"
"D","714","MPM Van Toc Day Chuyen Master X2 (MPM x10)"
"D","716","MPM Van Toc Day Truc M (MPM x10)"
"D","718","MPM Van Toc Day Truc S (MPM x10)"
"D","720","Duong Kinh Hien Tai Cuon Giay X1 (mm)"
"D","722","Duong Kinh Hien Tai Cuon Metalize U (mm)"
"D","724","Duong Kinh Hien Tai Cuon Thu T (mm)"
"X","50","Sensor Diem Nhay 1 Vong Cuon Giay X1"
"X","51","Sensor Diem Nhay 1 Vong Cuon Metalize U"
