Tag Name,Device Name,Address Type,Address,Comment,Data Format
HMI_Cmd_Zero_Set,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,118,Nut bam Set Zero chung cho truc dang chon tren HMI,Bit
HMI_Cmd_Calib_Set,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,119,Nut bam Calib Span chung cho truc dang chon tren HMI,Bit
HMI_Cmd_Save_PID,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,125,Nut bam Luu cai dat PID / Calib tren HMI,Bit
HMI_Cmd_AutoTune,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,126,Nut bam Kich hoat Auto-Tuning PID cho truc dang chon,Bit
HMI_Status_AT_Busy,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,127,Den bao dang chay Auto-Tuning,Bit
HMI_Status_AT_Done,Mitsubishi Q00/Q00UJ/Q01/QJ71,M,128,Den bao da Auto-Tuning xong va da tu cap nhat Kp Ki Kd,Bit
HMI_Status_Text_Code,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,602,Ma trang thai van hanh hien thi tieng Viet tren HMI,16-bit Signed
HMI_Recipe_Select,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,604,Chon cong thuc don hang Recipe (1..5),16-bit Signed
HMI_Disp_Zero_Offset,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,608,O nhap Zero Offset duy nhat tren HMI,32-bit Float
HMI_Axis_Select,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,610,Chon truc tren HMI (1=Thu T 2=Xa X1 3=Master X2 4=Ghep Ms 5=Dau S 6=Thang M 7=Xa U),16-bit Signed
HMI_Disp_Kp,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,612,O nhap Kp duy nhat tren HMI,32-bit Float
HMI_Disp_Ki,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,614,O nhap Ki duy nhat tren HMI,32-bit Float
HMI_Disp_Kd,Mitsubishi Q00/Q00UJ/Q01/QJ71,D,616,O nhap Kd duy nhat tren HMI,32-bit Float
