"Name","Address Type","Address","Data Type","Description"
"CCLink_Status","SB","20","BIT","Status of CC-Link Data Link"
"CCLink_ErrCode","SW","0","16-bit Unsigned","CC-Link Master Error Code"
"ADC_CH1_Display","D","600","16-bit Unsigned","Analog Input CH1 Scaled Value %"
"ADC_CH2_Display","D","601","16-bit Unsigned","Analog Input CH2 Scaled Value %"
"ADC_CH3_Display","D","602","16-bit Unsigned","Analog Input CH3 Scaled Value %"
"ADC_CH4_Display","D","603","16-bit Unsigned","Analog Input CH4 Scaled Value %"
"DAC_CH1_SetVal","D","610","16-bit Unsigned","Analog Output CH1 Command %"
"DAC_CH2_SetVal","D","611","16-bit Unsigned","Analog Output CH2 Command %"
"DAC_CH3_SetVal","D","612","16-bit Unsigned","Analog Output CH3 Command %"
"DAC_CH4_SetVal","D","613","16-bit Unsigned","Analog Output CH4 Command %"
"DAC_CH5_SetVal","D","614","16-bit Unsigned","Analog Output CH5 Command %"
"DAC_CH6_SetVal","D","615","16-bit Unsigned","Analog Output CH6 Command %"
"DAC_CH7_SetVal","D","616","16-bit Unsigned","Analog Output CH7 Command %"
"DAC_CH8_SetVal","D","617","16-bit Unsigned","Analog Output CH8 Command %"
"Remote_DI0","M","1104","BIT","Remote Digital Input X0 St 4"
"Remote_DI1","M","1105","BIT","Remote Digital Input X1 St 4"
"Remote_DO0_Btn","M","1296","BIT","Remote Digital Output Y0 Command St 4"
"Remote_DO1_Btn","M","1297","BIT","Remote Digital Output Y1 Command St 4"
"Reset_Fault_Btn","M","1111","BIT","Reset System Faults"
