Tag name,Device name,Device type,Address,Data format,Comment
X40_Servo_Ready_T,MELSEC-Q,X,40,Bit,Physical Input Servo Ready Thu T
X41_Servo_Ready_X1,MELSEC-Q,X,41,Bit,Physical Input Servo Ready Xa X1
X42_Servo_Ready_X2,MELSEC-Q,X,42,Bit,Physical Input Servo Ready Master X2
X43_Servo_Ready_Ms,MELSEC-Q,X,43,Bit,Physical Input Servo Ready Ghep Ms
X44_Servo_Ready_S,MELSEC-Q,X,44,Bit,Physical Input Servo Ready Trang Dau S
X45_Switch_Hold_M,MELSEC-Q,X,45,Bit,Physical Switch Hold Torque Thang M
X46_Switch_Hold_U,MELSEC-Q,X,46,Bit,Physical Switch Hold Torque Xa U
X47_Switch_Wash_Ms,MELSEC-Q,X,47,Bit,Physical Switch Wash Crawl Ms
X48_Switch_Wash_S,MELSEC-Q,X,48,Bit,Physical Switch Wash Crawl S
X49_Physical_Start,MELSEC-Q,X,49,Bit,Physical Push Button START
X4A_Physical_Stop,MELSEC-Q,X,4A,Bit,Physical Push Button STOP
X4B_Physical_Inc,MELSEC-Q,X,4B,Bit,Physical Push Button INC Tang Toc
X4C_Physical_Dec,MELSEC-Q,X,4C,Bit,Physical Push Button DEC Giam Toc
X50_Sensor_Rev_M,MELSEC-Q,X,50,Bit,Proximity Sensor 1 Rev Roll M
X51_Sensor_Rev_U,MELSEC-Q,X,51,Bit,Proximity Sensor 1 Rev Roll U
X52_Pen1_Toggle_PB,MELSEC-Q,X,52,Bit,Physical Push Button Toggle Pen 1
X53_Pen2_Toggle_PB,MELSEC-Q,X,53,Bit,Physical Push Button Toggle Pen 2
Y47_Servo_ON_T,MELSEC-Q,Y,47,Bit,Servo ON Output Thu T
Y48_Servo_ON_X1,MELSEC-Q,Y,48,Bit,Servo ON Output Xa X1
Y49_Servo_ON_X2,MELSEC-Q,Y,49,Bit,Servo ON Output Master X2
Y4A_Servo_ON_Ms,MELSEC-Q,Y,4A,Bit,Servo ON Output Ghep Ms
Y4B_Servo_ON_S,MELSEC-Q,Y,4B,Bit,Servo ON Output Trang Dau S
Y66_Pen1_Output,MELSEC-Q,Y,66,Bit,Solenoid Valve Output Pen 1
Y67_Pen2_Output,MELSEC-Q,Y,67,Bit,Solenoid Valve Output Pen 2
HMI_Auto_Mode,MELSEC-Q,M,100,Bit,Che do Auto / Manual
HMI_Reset_Error,MELSEC-Q,M,101,Bit,Reset loi he thong
HMI_Start,MELSEC-Q,M,102,Bit,Nut Start HMI
HMI_Stop,MELSEC-Q,M,103,Bit,Nut Stop HMI
HMI_Reset_Length,MELSEC-Q,M,104,Bit,Reset tong chieu dai met hang
HMI_Reset_Roll_T,MELSEC-Q,M,105,Bit,Nap lai duong kinh cuon moi T
HMI_Reset_Roll_M,MELSEC-Q,M,106,Bit,Nap lai duong kinh cuon moi M
HMI_Reset_Roll_U,MELSEC-Q,M,107,Bit,Nap lai duong kinh cuon moi U
HMI_PID_Enable,MELSEC-Q,M,108,Bit,Bat tat che do PID
HMI_Inc_Hold,MELSEC-Q,M,109,Bit,Phim INC tang toc HMI
HMI_Dec_Hold,MELSEC-Q,M,114,Bit,Phim DEC giam toc HMI
HMI_Pen1_Cmd,MELSEC-Q,M,115,Bit,Lenh ON/OFF Pen 1 tu HMI
HMI_Pen2_Cmd,MELSEC-Q,M,116,Bit,Lenh ON/OFF Pen 2 tu HMI
Zero_Set_T,MELSEC-Q,M,110,Bit,Nut Set Zero Tare T
Zero_Set_X1,MELSEC-Q,M,111,Bit,Nut Set Zero Tare X1
Zero_Set_M,MELSEC-Q,M,112,Bit,Nut Set Zero Tare M
Zero_Set_U,MELSEC-Q,M,113,Bit,Nut Set Zero Tare U
Calib_Set_T,MELSEC-Q,M,120,Bit,Nut Calib Span T
Calib_Set_X1,MELSEC-Q,M,121,Bit,Nut Calib Span X1
Calib_Set_M,MELSEC-Q,M,122,Bit,Nut Calib Span M
Calib_Set_U,MELSEC-Q,M,123,Bit,Nut Calib Span U
Lift_Up_T,MELSEC-Q,M,140,Bit,Nang ben ben cuon T
Lift_Down_T,MELSEC-Q,M,141,Bit,Ha ben ben cuon T
Lift_Up_M,MELSEC-Q,M,142,Bit,Nang ben ben cuon M
Lift_Down_M,MELSEC-Q,M,143,Bit,Ha ben ben cuon M
Lift_Up_U,MELSEC-Q,M,144,Bit,Nang ben ben cuon U
Lift_Down_U,MELSEC-Q,M,145,Bit,Ha ben ben cuon U
Hold_Torque_Stop_M,MELSEC-Q,M,130,Bit,Cơ giu Torque Thang M khi dung
Hold_Torque_Stop_U,MELSEC-Q,M,131,Bit,Cơ giu Torque Xa U khi dung
Anti_Dry_Rotate_S,MELSEC-Q,M,132,Bit,Cơ rua may S khi dung
Anti_Dry_Rotate_Ms,MELSEC-Q,M,133,Bit,Cơ rua may Ms khi dung
Servo_Not_Ready_Fault,MELSEC-Q,M,134,Bit,Bao loi Servo No Ready ngat dung may
Gear_Ratio_T,MELSEC-Q,D,620,32-bit Signed,Ty so truyen Hop so Thu T (x1000)
Gear_Ratio_X1,MELSEC-Q,D,622,32-bit Signed,Ty so truyen Hop so Xa X1 (x1000)
Gear_Ratio_X2,MELSEC-Q,D,624,32-bit Signed,Ty so truyen Hop so Master X2 (x1000)
Gear_Ratio_Ms,MELSEC-Q,D,626,32-bit Signed,Ty so truyen Hop so Ghep Ms (x1000)
Gear_Ratio_S,MELSEC-Q,D,628,32-bit Signed,Ty so truyen Hop so Trang Dau S (x1000)
Gear_Ratio_U,MELSEC-Q,D,630,32-bit Signed,Ty so truyen Hop so Xa U (x1000)
Speed_Ratio_Ms,MELSEC-Q,D,640,32-bit Signed,Ty le dong bo toc do Truc Ms (x10)
Speed_Ratio_S,MELSEC-Q,D,642,32-bit Signed,Ty le toc do Truc S (x10)
Speed_Offset_S,MELSEC-Q,D,644,32-bit Signed,Bu toc do Truc S
ADC_Zero_T,MELSEC-Q,D,650,32-bit Signed,Gia tri ADC Zero T
Calib_Weight_T_kg,MELSEC-Q,D,651,32-bit Signed,Qua can chuan T (kg x10)
ADC_Zero_X1,MELSEC-Q,D,652,32-bit Signed,Gia tri ADC Zero X1
