"Tag Name","PLC Name","Address","Data Type","Comment"
"HMI_Cmd_Zero_Set","Mitsubishi Q00/Q00UJ/Q01/QJ71","M118","Bit","Nut bam Set Zero chung cho truc dang chon tren HMI"
"HMI_Cmd_Calib_Set","Mitsubishi Q00/Q00UJ/Q01/QJ71","M119","Bit","Nut bam Calib Span chung cho truc dang chon tren HMI"
"HMI_Cmd_Save_PID","Mitsubishi Q00/Q00UJ/Q01/QJ71","M125","Bit","Nut bam Luu cai dat PID / Calib tren HMI"
"HMI_Cmd_AutoTune","Mitsubishi Q00/Q00UJ/Q01/QJ71","M126","Bit","Nut bam Kich hoat Auto-Tuning PID cho truc dang chon"
"HMI_Status_AT_Busy","Mitsubishi Q00/Q00UJ/Q01/QJ71","M127","Bit","Den bao dang chay Auto-Tuning"
"HMI_Status_AT_Done","Mitsubishi Q00/Q00UJ/Q01/QJ71","M128","Bit","Den bao da Auto-Tuning xong va da tu cap nhat Kp Ki Kd"
"HMI_Axis_Select","Mitsubishi Q00/Q00UJ/Q01/QJ71","D610","16-bit Signed","Chon truc tren HMI (1=Thu T, 2=Xa X1, 3=Master X2, 4=Ghep Ms, 5=Dau S, 6=Thang M, 7=Xa U)"
"HMI_Disp_Kp","Mitsubishi Q00/Q00UJ/Q01/QJ71","D612","32-bit Float","O nhap Kp duy nhat tren HMI"
"HMI_Disp_Ki","Mitsubishi Q00/Q00UJ/Q01/QJ71","D614","32-bit Float","O nhap Ki duy nhat tren HMI"
"HMI_Disp_Kd","Mitsubishi Q00/Q00UJ/Q01/QJ71","D616","32-bit Float","O nhap Kd duy nhat tren HMI"
"HMI_Disp_Calib_Gain","Mitsubishi Q00/Q00UJ/Q01/QJ71","D618","32-bit Float","O nhap Calib Gain duy nhat tren HMI"
"HMI_Auto_Mode","Mitsubishi Q00/Q00UJ/Q01/QJ71","M100","Bit","Che do Auto / Manual"
"HMI_Reset_Error","Mitsubishi Q00/Q00UJ/Q01/QJ71","M101","Bit","Reset loi he thong"
"HMI_Start","Mitsubishi Q00/Q00UJ/Q01/QJ71","M102","Bit","Nut Start HMI"
"HMI_Stop","Mitsubishi Q00/Q00UJ/Q01/QJ71","M103","Bit","Nut Stop HMI"
"HMI_Reset_Length","Mitsubishi Q00/Q00UJ/Q01/QJ71","M104","Bit","Reset tong chieu dai met hang"
"HMI_Reset_Roll_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","M105","Bit","Nap lai duong kinh cuon moi T"
"HMI_Reset_Roll_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","M106","Bit","Nap lai duong kinh cuon moi M"
"HMI_Reset_Roll_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","M107","Bit","Nap lai duong kinh cuon moi U"
"HMI_PID_Enable","Mitsubishi Q00/Q00UJ/Q01/QJ71","M108","Bit","Bat tat che do PID"
"HMI_Inc_Hold","Mitsubishi Q00/Q00UJ/Q01/QJ71","M109","Bit","Phim INC tang toc HMI"
"HMI_Dec_Hold","Mitsubishi Q00/Q00UJ/Q01/QJ71","M114","Bit","Phim DEC giam toc HMI"
"HMI_Pen1_Cmd","Mitsubishi Q00/Q00UJ/Q01/QJ71","M115","Bit","Lenh ON/OFF Pen 1 tu HMI"
"HMI_Pen2_Cmd","Mitsubishi Q00/Q00UJ/Q01/QJ71","M116","Bit","Lenh ON/OFF Pen 2 tu HMI"
"Zero_Set_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","M110","Bit","Nut Set Zero Tare T"
"Zero_Set_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","M111","Bit","Nut Set Zero Tare X1"
"Zero_Set_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","M112","Bit","Nut Set Zero Tare M"
"Zero_Set_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","M113","Bit","Nut Set Zero Tare U"
"Calib_Set_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","M120","Bit","Nut Calib Span T"
"Calib_Set_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","M121","Bit","Nut Calib Span X1"
"Calib_Set_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","M122","Bit","Nut Calib Span M"
"Calib_Set_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","M123","Bit","Nut Calib Span U"
"HMI_Test_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","M170","Bit","Co Test chay thu rieng Truc Thu T"
"HMI_Test_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","M171","Bit","Co Test chay thu rieng Truc Xa X1"
"HMI_Test_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","M172","Bit","Co Test chay thu rieng Truc Master X2"
"HMI_Test_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","M173","Bit","Co Test chay thu rieng Truc Ghep Ms"
"HMI_Test_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","M174","Bit","Co Test chay thu rieng Truc Trang Dau S"
"HMI_Test_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","M175","Bit","Co Test thu Luc Thang Tu M"
"HMI_Test_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","M176","Bit","Co Test chay thu rieng Truc Xa U"
"Current_Line_MPM","Mitsubishi Q00/Q00UJ/Q01/QJ71","D730","32-bit Float","Toc do hien tai (m/p)"
"Target_Line_MPM","Mitsubishi Q00/Q00UJ/Q01/QJ71","D732","32-bit Float","Toc do muc tieu (m/p)"
"Max_Speed_MPM","Mitsubishi Q00/Q00UJ/Q01/QJ71","D734","32-bit Float","Toc do Max (100.0 m/p)"
"Min_Speed_MPM","Mitsubishi Q00/Q00UJ/Q01/QJ71","D736","32-bit Float","Toc do Min (2.0 m/p)"
"Total_Length_Meters","Mitsubishi Q00/Q00UJ/Q01/QJ71","D708","32-bit Float","Tong so met hang da ghep (m)"
"Set_Target_Length","Mitsubishi Q00/Q00UJ/Q01/QJ71","D700","32-bit Float","Chieu dai met hang cai dat tu dung (m)"
"Decel_Distance_Meters","Mitsubishi Q00/Q00UJ/Q01/QJ71","D702","32-bit Float","Khoang cach bao giam toc truoc khi dung (m)"
"Ramp_Accel_Rate","Mitsubishi Q00/Q00UJ/Q01/QJ71","D704","32-bit Float","Thanh ghi gia toc ACC (m/p/s)"
"Ramp_Decel_Rate","Mitsubishi Q00/Q00UJ/Q01/QJ71","D706","32-bit Float","Thanh ghi giam toc DEC (m/p/s)"
"Weight_Net_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D510","32-bit Float","Trong luong Luc cang thuc te T (kg)"
"Weight_Net_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D512","32-bit Float","Trong luong Luc cang thuc te X1 (kg)"
"Weight_Net_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D514","32-bit Float","Trong luong Luc cang thuc te M (kg)"
"Weight_Net_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D516","32-bit Float","Trong luong Luc cang thuc te U (kg)"
"SP_Tension_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D660","32-bit Float","Luc cang SP Truc T (kg)"
"SP_Tension_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D662","32-bit Float","Luc cang SP Truc X1 (kg)"
"SP_Tension_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D664","32-bit Float","Luc cang SP Truc M (kg)"
"SP_Tension_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D668","32-bit Float","Luc cang SP Truc U (kg)"
"Taper_Percent_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D666","32-bit Float","Ty le Con giam luc cang cuon thu T (%)"
"Real_Dia_T_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D724","32-bit Float","Duong kinh thuc te cuon Thu T (mm)"
"Real_Dia_M_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D722","32-bit Float","Duong kinh thuc te cuon Xa M (mm)"
"Real_Dia_U_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D720","32-bit Float","Duong kinh thuc te cuon Xa U (mm)"
"Core_Dia_T_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D740","32-bit Float","Duong kinh loi cuon Thu T (mm)"
"Core_Dia_M_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D742","32-bit Float","Duong kinh loi cuon Xa M (mm)"
"Core_Dia_U_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D744","32-bit Float","Duong kinh loi cuon Xa U (mm)"
"Max_Dia_T_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D750","32-bit Float","Duong kinh cuc dai cuon Thu T (mm)"
"Max_Dia_M_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D752","32-bit Float","Duong kinh cuc dai cuon Xa M (mm)"
"Max_Dia_U_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D754","32-bit Float","Duong kinh cuc dai cuon Xa U (mm)"
"Gear_Ratio_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D620","32-bit Float","Ty so truyen Hop so Thu T"
"Gear_Ratio_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D622","32-bit Float","Ty so truyen Hop so Xa X1"
"Gear_Ratio_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D624","32-bit Float","Ty so truyen Hop so Master X2"
"Gear_Ratio_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D626","32-bit Float","Ty so truyen Hop so Ghep Ms"
"Gear_Ratio_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D628","32-bit Float","Ty so truyen Hop so Trang Dau S"
"Gear_Ratio_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D630","32-bit Float","Ty so truyen Hop so Xa U"
"Dia_X1_Roller_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D638","32-bit Float","Duong kinh lo Keo X1 (mm)"
"Dia_X2_Roller_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D780","32-bit Float","Duong kinh lo Master X2 (mm)"
